N           M          method       insert(s)      search(s)
1000000	    1000000	    Solution1	    1.12201	    1.07134
1000000	    1000000	    Solution1	    1.12362	    1.07354
1000000	    1000000	    Solution1	    1.1092	    1.05054
1000000	    1000000	    Solution1	    1.18296	    1.13567
1000000	    1000000	    Solution1	    1.09083	    1.09437
10000000	    1000000	    Solution1	    17.6183	    1.64809
10000000	    1000000	    Solution1	    18.7111	    1.86626
10000000	    1000000	    Solution1	    18.3957	    1.69816
10000000	    1000000	    Solution1	    18.5521	    1.87562
10000000	    1000000	    Solution1	    21.5979	    1.65076
100000000	    1000000	    Solution1	    285.848	    2.57003
100000000	    1000000	    Solution1	    280.004	    2.71093
100000000	    1000000	    Solution1	    277.986	    2.57755
100000000	    1000000	    Solution1	    277.956	    2.61489
100000000	    1000000	    Solution1	    279.801	    2.60687
1000000	    1000000	    Solution2	    1.07238	    1.03408
1000000	    1000000	    Solution2	    1.12952	    1.13086
1000000	    1000000	    Solution2	    1.01735	    1.02403
1000000	    1000000	    Solution2	    0.995746	    1.00184
1000000	    1000000	    Solution2	    1.1657	    1.34412
10000000	    1000000	    Solution2	    20.7271	    2.07242
10000000	    1000000	    Solution2	    16.9216	    2.29899
10000000	    1000000	    Solution2	    17.1511	    1.59148
10000000	    1000000	    Solution2	    17.4758	    1.59365
10000000	    1000000	    Solution2	    17.8845	    1.52125
100000000	    1000000	    Solution2	    267.541	    2.3948
100000000	    1000000	    Solution2	    270.212	    2.4155
100000000	    1000000	    Solution2	    262.97	    2.46812
100000000	    1000000	    Solution2	    265.432	    2.42356
100000000	    1000000	    Solution2	    270.584	    2.4299
1000000	    1000000	    Solution3	    0.678149	    0.772137
1000000	    1000000	    Solution3	    0.635691	    0.636642
1000000	    1000000	    Solution3	    0.609985	    0.617027
1000000	    1000000	    Solution3	    0.663292	    0.614064
1000000	    1000000	    Solution3	    0.607464	    0.605535
10000000	    1000000	    Solution3	    11.9802	    1.09763
10000000	    1000000	    Solution3	    13.0687	    1.03436
10000000	    1000000	    Solution3	    11.3076	    1.02901
10000000	    1000000	    Solution3	    11.8014	    1.09989
10000000	    1000000	    Solution3	    13.1967	    1.28705
100000000	    1000000	    Solution3	    189.877	    1.83394
100000000	    1000000	    Solution3	    191.628	    1.85568
100000000	    1000000	    Solution3	    190.745	    1.84504
100000000	    1000000	    Solution3	    187.728	    1.83732
100000000	    1000000	    Solution3	    193.393	    1.85815
1000000	    1000000	    Solution4	    0.56561	    0.535099
1000000	    1000000	    Solution4	    0.615197	    0.639982
1000000	    1000000	    Solution4	    0.52107	    0.535022
1000000	    1000000	    Solution4	    0.54085	    0.541586
1000000	    1000000	    Solution4	    0.519055	    0.509767
10000000	    1000000	    Solution4	    10.8544	    1.03022
10000000	    1000000	    Solution4	    10.7982	    1.0086
10000000	    1000000	    Solution4	    10.9773	    1.08684
10000000	    1000000	    Solution4	    12.1255	    1.17714
10000000	    1000000	    Solution4	    10.9008	    0.995866
100000000	    1000000	    Solution4	    180.774	    1.7017
100000000	    1000000	    Solution4	    167.54	    1.61627
100000000	    1000000	    Solution4	    169.017	    1.62164
100000000	    1000000	    Solution4	    176.498	    1.70183
100000000	    1000000	    Solution4	    164.438	    1.57226
